NAME_CD	IL_STATUS	IN_STATUS	MI_STATUS	WI_STATUS	FEDERAL_STATUS	TE_NOTES
PHCO24	E  					
PHGLI				E  		
PHHE11				SC 		
PHMA4			T  			
PIAV		T  				synonym used on IN state list
PIBA2	E  	R  				
PIPU7		X  				synonym used on IN state list
PIRA5		T  				synonym used on IN state list
PIRE	E  					
PIST		R  				
PLCO2	E  	E  	E  	E  		
PLOC				SC 		
POAC4				SC 		
POAL3	E  	R  				
POAN5		T  				
POAR4		R  				
POAR6	E  					
POBA2	E  	X  				
POCA8	E  	T  	T  			
POCI		E  				
POCR			SC 	SC 		
PODI				SC 		
POEP2		E  				
POFR3		E  				
POGR8	T  					
POHE4			E  			
POHY2		T  				synonym used on IN state list
POHYO		T  				name used on IN state list
POIN4	E  	E  	X  	E  		
POLA2	E  					name used on IL state list
PONU4		E  	X  	T  		
POPA		WL 	T  	T  		
POPA5		E  				
POPE8			T  			
POPR5	E  	E  				
POPU4	E  					
POPU6	E  	E  	T  	E  		
POPU7		R  				
PORE2			T  			
PORI2		T  				
PORO2	E  	T  				
POSA	E  					synonym used on IL state list
POST2	E  	E  				
POUV2			T  			
POVA3		E  	T  	SC 		
POWO	E  	R  				
PRAS		R  		E  		
PRCR		R  		E  		
PRLO		X  				synonym used on IN state list
PRLO3		X  				name used on IN state list
PRPE2		R  				
PSNI		X  				name used on IN state list
PSSC2		T  	T  	T  		name used on IN
PSTE3		X  				name used on IN state list
PSTE5		X  				synonym used on IN state list
PYAM		R  				synonym used on IN state list
PYAS		E  				
PYCH		X  				synonym used on IN state list
PYMU			T  			
PYPI			T  			
PYROA		R  				name used on IN state list
PYSE		X  				name used on IN state list
PYVE			SC 			
PYVI3		X  				name used on IN state list
QUMU				SC 		
QUPA2				SC 		
RACY	E  		T  	T  		
RAGM				E  		
RARH	T  		T  			
RHAL	E  					
RHAL3	T  					
RHAR4				SC 		
RHARA		T  				
RHFU				SC 		
RHGLR		E  				name used on IN state list
RHLAG				SC 		
RHMA6		R  	SC 			
RHNI		X  				synonym used on IN state list
RHRE8		E  				synonym used on IN state list
RHSC5		T  	T  	T  		synonym used on IN
RHVI			SC 	SC 		
RIHI	E  					
ROAC	E  					
ROAQ		E  	T  	E  		synonyms used on IN
RORA			SC 			
RUEN		E  				
RUHU			T  	E  		
RUMA5			T  			
RUOD	E  	T  				
RUPU	T  					
RUSC6	T  					name used on IL state list
RUSE	T  	E  				name used on IN state list; synonym used on IL state list
RUST2			T  			
RUSU			X  			
SAAN			T  			
SAAZG	T  					synonym used on IL state list
SAAZP	T  					name used on IL state list
SACA13	E  					
SACA14		E  	T  			
SACA26		X  				
SACA3	E  					
SACAC				SC 		name used on WI state list
SACO3	E  	T  		E  		name used on IN and WI state lists; synonym used on IL state list
SAFO2		E  				name used on IN state list
SAGLA2		E  				name used on IN state list
SAMOC2			T  	SC 		name used on MI state list; synonym used on WI state list
SAPE8		E  				synonym used on IN state list
SAPU4	E  					
SARAP	E  					
SASE				SC 		
SASE2	E  	T  				
SASY4	E  					name used on IL state list
SAVUN		E  				name used on IN state list
SCCA27				T  		name used on WI state list
SCCL2			SC 			name used on MI state list
SCELH			SC 			
SCEX		E  				
SCGE2				SC 		
SCHA		E  	T  	E  		name used on IN
SCHA3	E  					
SCHA9	T  	E  	T  	E  		name used on IL state list; synonym used on IN
SCHE				SC 		name used on WI state list
SCHE5				SC 		synonym used on WI state list
SCMI2	E  					
SCMU8	E  					
SCNE2			T  			
SCOV			X  	SC 		
SCPA2		E  				synonym used on IN state list
SCPA5	E  		E  			
SCPA7			T  			
SCPAA3		E  				name used on IN state list
SCPO2	T  					
SCPU	E  	E  				
SCPU13	E  	E  				name used on IL state list; synonym used on IN state list
SCPU4		E  				name used on IN state list
SCRE		T  	T  	E  		
SCSM		E  				name used on IN state list
SCSM2	E  	E  				name used on IL state list; synonym used on IN state list
SCSU		R  				name used on IN state list
SCSU10		R  				synonym used on IN state list
SCTO		E  	SC 	SC 		name used on IN
SCTO3		E  	SC 	SC 		synonym used on IN
SCTR			SC 	SC 		
SCVE2				SC 		
SEAP		E  				
SEGE		E  				name used on IN state list
SEMA11				SC 		
SEOB4		R  				
SEPA10		E  				synonym used on IN state list
SEPL				SC 		
SERU		T  				
SHCA	E  	X  				
SIAL3			X  			synonym used on MI state list
SIAN3				SC 		
SIAT	T  		T  			
SIHA4			X  			name used on MI state list
SIIN2			T  			
SILA3			T  			
SIMO2	E  	E  				
SINI				T  		
SIPE2			T  			
SIRE2	E  	T  				
SIST			T  			
SIVI4			T  	E  		
SMHE			SC 			
SOCA4				E  
SODE3	E  	X  		
SOMI2			T  	
SOOH				SC 
SOPT4		R  		
SOSIG2		T  		T  
SPAM	E  			
SPAN		T  		
SPCL			SC 	
SPEM2	E  			
SPHE			SC 	
SPMA5		E  		
SPOC		T  	SC 	
SPOV				SC 
SPOVE			T  	
