NAME_CD	NAME	SOURCE_CD
BRINI2	smooth brome	UP
BRINP	Pumpelly's brome	UP
BRINP5	Pumpelly's brome	UP
BRIZA	quakinggrass	UP
BRJA	Japanese brome	UP
BRJU	India mustard	UP
BRKA2	arctic brome	UP
BRLA4	earlyleaf brome	UP
BRMA	big quakinggrass	UP
BRMA3	compact brome	UP
BRMA4	mountain brome	UP
BRME	perennial quakinggrass	UP
BRMI2	little quakinggrass	UP
BRNA	rape	UP
BRNI	black mustard	UP
BRNO	Nottoway Valley brome	UP
BROL	cabbage	UP
BROMU	brome	UP
BROUS	broussonetia	UP
BROV4	American buckwheat vine	UP
BRPA4	paper mulberry	UP
BRPU6	hairy woodland brome	UP
BRRA	field mustard	UP
BRRAR	field mustard	UP
BRSC	watershield	UP
BRSC3	broom brome	UP
BRSE	rye brome	UP
BRSE2	northern shorthusk	UP
BRSQ2	corn brome	UP
BRST2	poverty brome	UP
BRTE	cheatgrass	UP
BRUNN	buckwheat vine	UP
BUAL	fountain butterflybush	UP
BUAM	American bluehearts	UP
BUAR3	corn gromwell	UP
BUCA2	densetuft hairsedge	UP
BUCAC	densetuft hairsedge	UP
BUCHL	buffalograss	UP
BUCHN	bluehearts	UP
BUDA	buffalograss	UP
BUDA2	orange eye butterflybush	UP
BUDDL2	butterflybush	UP
BUER	crested wartycabbage	UP
BUGLO	buglossoides	UP
BULA3	lanceleaf thorow wax	UP
BULBO	hairsedge	UP
BUNIA	wartycabbage	UP
BUOR	Turkish wartycabbage	UP
BUPLE	bupleurum	UP
BURO	hare's ear	UP
BUTOM	butomus	UP
BUUM	flowering rush	UP
CAAB5	thicket sedge	UP
CAAC	spiny plumeless thistle	UP
CAAC2	lesser pond sedge	UP
CAAD2	lesser brown sedge	UP
CAAE2	summer sedge	UP
CAAG2	glomerate sedge	UP
CAAL	light poppymallow	UP
CAAL11	white bear sedge	UP
CAAL25	whitetinge sedge	UP
CAAL27	mockernut hickory	UP
CAAL3	broadwing sedge	UP
CAAL5	greenwhite sedge	UP
CAAL8	foxtail sedge	UP
CAALA	whitetinge sedge	UP
CAALA2	stellate sedge	UP
CAALE	Emmons' sedge	UP
CAAM18	American bellflower	UP
CAAM8	eastern narrowleaf sedge	UP
CAAN11	slender toothwort	UP
